Nama_Bahan,Satuan,Harga_Rata_Rata,Bulan,Tahun
Beras Bengawan,kg,11939,Januari,2018
Beras Mentik,kg,11496,Januari,2018
Beras IR 64,kg,10461,Januari,2018
Gula Pasir Dalam Negri,kg,11162,Januari,2018
Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11857,Januari,2018
Bimoli botol/Kemasan (sps) 2 liter,2 Liter,26571,Januari,2018
Tanpa Merk / Minyak Curah,kg,11235,Januari,2018
Daging Sapi Murni,kg,106963,Januari,2018
Daging Ayam Broiler,kg,32845,Januari,2018
Daging Ayam Broiler,kg,31115,Februari,2018
Telur Ayam Ras / Petelur,kg,21844,Januari,2018
Daging Ayam Broiler,kg,30347,Maret,2018
Susu Kental Manis Merk Bendera,397 gr/kl,9896,Januari,2018
Susu Kental Manis Merk Indomilk,390 gr/kl,9718,Januari,2018
Susu Bubuk Merk Bendera (Instant),400 gr/dos,38268,Januari,2018
Susu Bubuk Merk Indomilk (Instant),400 gr/dos,36276,Januari,2018
JAGUNG PIPILAN KERING,kg,5998,Januari,2018
Garam Beryodium Bata,Buah,1150,Januari,2018
Daging Ayam Broiler,kg,31430,April,2018
Tepung terigu Segitiga Biru,kg,7715,Januari,2018
KACANG Kedelai Eks Impor,kg,8239,Januari,2018
Kacang Kedelai Lokal,kg,8362,Januari,2018
Indomie Rasa Kari Ayam,Bungkus,2288,Januari,2018
Cabe Keriting,kg,33453,Januari,2018
Cabe Biasa,kg,32550,Januari,2018
Cabe Rawit,kg,33956,Januari,2018
Bawang Merah,kg,17857,Januari,2018
Bawang Putih,kg,17671,Januari,2018
IKAN ASIN TERI,kg,63388,Januari,2018
KACANG HIJAU,kg,17916,Januari,2018
KACANG TANAH,kg,23558,Januari,2018
KETELA POHON,kg,3488,Januari,2018
KOL/KUBIS,kg,6368,Januari,2018
KENTANG,kg,15102,Januari,2018
TOMAT,kg,7307,Januari,2018
WORTEL,kg,12120,Januari,2018
Buncis,kg,8769,Januari,2018
Daging Ayam Broiler,kg,33912,Mei,2018
Ikan Kembung,kg,27505,Januari,2018
Ikan Tuna,kg,33674,Januari,2018
ikan Tongkol,kg,26764,Januari,2018
ikan cakalang,kg,27320,Januari,2018
Beras Bengawan,kg,12197,Februari,2018
Beras Mentik,kg,11777,Februari,2018
Beras IR 64,kg,10610,Februari,2018
Gula Pasir Dalam Negri / kg,kg,11145,Februari,2018
Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11813,Februari,2018
Minyak Goreng Bimoli Botol/Kemasan (sps) 2 Liter,2 Liter,26505,Februari,2018
Minyak Goreng Curah / kg (liter),kg,11162,Februari,2018
Daging Sapi Murni / kg,kg,106644,Februari,2018
Daging Ayam Broiler,kg,37175,Juni,2018
Daging Ayam Broiler,kg,36051,Juli,2018
Telur Ayam Ras (Petelur) / kg,kg,20276,Februari,2018
Daging Ayam Broiler,kg,34808,Agustus,2018
Susu Kental Manis Merk Bendera (397 gr/kl),397 gr/kl,9895,Februari,2018
Susu Kental Manis Merk Indomilk (390 gr/kl),390 gr/kl,9648,Februari,2018
Susu Bubuk Merk Bendera (Instant) / (400 gr/dos),400 gr/dos,38365,Februari,2018
Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos),400 gr/dos,36375,Februari,2018
Jagung Pipilan Kering / kg,kg,5896,Februari,2018
Garam Beryodium Bata / buah,Buah,1187,Februari,2018
Daging Ayam Broiler,kg,30641,September,2018
Tepung Terigu / kg,kg,7776,Februari,2018
Kacang Kedelai Eks Impor / kg,kg,8161,Februari,2018
Kacang Kedelai Lokal,kg,8343,Februari,2018
Indomie Rasa Kari Ayam / bungkus,Bungkus,2261,Februari,2018
Cabe Merah Besar Keriting / kg,kg,34669,Februari,2018
Cabe Merah Besar,kg,33101,Februari,2018
Cabe Rawit / kg,kg,37915,Februari,2018
Bawang Merah,kg,18344,Februari,2018
Bawang Putih,kg,23731,Februari,2018
Ikan Asin Teri / kg,kg,63982,Februari,2018
Kacang Hijau / kg,kg,18055,Februari,2018
Kacang Tanah / kg,kg,23250,Februari,2018
Ketela Pohon / kg,kg,3465,Februari,2018
Kol/kubis (/kg),kg,6260,Februari,2018
Kentang / kg,kg,14031,Februari,2018
Tomat / kg,kg,8307,Februari,2018
Wortel / kg,kg,10287,Februari,2018
Buncis,kg,9431,Februari,2018
Daging Ayam Broiler,kg,30816,Oktober,2018
Ikan Kembung / kg,kg,27611,Februari,2018
ikan Tuna / kg,kg,34090,Februari,2018
Ikan Tongkol / kg,kg,27123,Februari,2018
Ikan Cakalang / kg,kg,28139,Februari,2018
Beras Bengawan,kg,11904,Maret,2018
Beras Mentik,kg,11512,Maret,2018
Beras IR 64,kg,10144,Maret,2018
Gula Pasir Dalam Negri / kg,kg,11157,Maret,2018
Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11485,Maret,2018
Minyak Goreng Bimoli Botol/Kemasan (sps) 2 Liter,2 Liter,26526,Maret,2018
Minyak Goreng Curah / kg (liter),kg,11140,Maret,2018
Daging Sapi Murni / kg,kg,106619,Maret,2018
Daging Ayam Broiler,kg,32473,November,2018
Daging Ayam Broiler,kg,34233,Desember,2018
Telur Ayam Ras (Petelur) / kg,kg,19927,Maret,2018
Daging Ayam Broiler,kg,33845,Januari,2019
Susu Kental Manis Merk Bendera (397 gr/kl),397 gr/kl,9871,Maret,2018
Susu Kental Manis Merk Indomilk (390 gr/kl),390 gr/kl,9658,Maret,2018
Susu Bubuk Merk Bendera (Instant) / (400 gr/dos),400 gr/dos,37862,Maret,2018
Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos),400 gr/dos,35751,Maret,2018
Jagung Pipilan Kering / kg,kg,5916,Maret,2018
Garam Beryodium Bata / buah,Buah,1200,Maret,2018
Daging Ayam Broiler,kg,32013,Februari,2019
Tepung Terigu / kg,kg,7838,Maret,2018
Kacang Kedelai Eks Impor / kg,kg,8198,Maret,2018
Kacang Kedelai Lokal,kg,8417,Maret,2018
